Draw Date,Winning Numbers,Mega Ball,Multiplier,Game Type,Split 1,Split 2,Split 3,Split 4,Split 5,Split 6,Split 7,Split 8,Split 9,Split 10,Split 11,Split 12,Split 13,Split 14,Split 15,Split 16,Split 17,Split 18,Split 19,Split 20
5/19/23,05 11 41 44 55,14,02,Mega Millions,5,11,41,44,55,,,,,,,,,,,,,,,
5/16/23,15 34 36 69 70,17,03,Mega Millions,15,34,36,69,70,,,,,,,,,,,,,,,
5/12/23,01 02 23 40 45,15,03,Mega Millions,1,2,23,40,45,,,,,,,,,,,,,,,
5/9/23,04 37 46 48 51,19,03,Mega Millions,4,37,46,48,51,,,,,,,,,,,,,,,
5/5/23,16 18 28 42 43,11,03,Mega Millions,16,18,28,42,43,,,,,,,,,,,,,,,
5/2/23,03 15 16 32 41,09,02,Mega Millions,3,15,16,32,41,,,,,,,,,,,,,,,
4/28/23,18 38 53 62 64,20,03,Mega Millions,18,38,53,62,64,,,,,,,,,,,,,,,
4/25/23,08 29 46 47 48,12,02,Mega Millions,8,29,46,47,48,,,,,,,,,,,,,,,
4/21/23,03 21 29 46 63,09,03,Mega Millions,3,21,29,46,63,,,,,,,,,,,,,,,
4/18/23,07 09 15 19 25,04,02,Mega Millions,7,9,15,19,25,,,,,,,,,,,,,,,
4/14/23,23 27 41 48 51,22,02,Mega Millions,23,27,41,48,51,,,,,,,,,,,,,,,
4/11/23,31 35 53 54 55,24,03,Mega Millions,31,35,53,54,55,,,,,,,,,,,,,,,
4/7/23,12 32 49 51 66,21,02,Mega Millions,12,32,49,51,66,,,,,,,,,,,,,,,
4/4/23,01 37 45 62 64,04,03,Mega Millions,1,37,45,62,64,,,,,,,,,,,,,,,
3/31/23,16 26 27 42 61,23,04,Mega Millions,16,26,27,42,61,,,,,,,,,,,,,,,
3/28/23,02 03 18 32 68,24,04,Mega Millions,2,3,18,32,68,,,,,,,,,,,,,,,
3/24/23,14 17 33 42 66,15,03,Mega Millions,14,17,33,42,66,,,,,,,,,,,,,,,
3/21/23,01 21 25 27 40,11,02,Mega Millions,1,21,25,27,40,,,,,,,,,,,,,,,
3/17/23,26 28 29 39 49,25,03,Mega Millions,26,28,29,39,49,,,,,,,,,,,,,,,
3/14/23,01 07 23 38 55,02,03,Mega Millions,1,7,23,38,55,,,,,,,,,,,,,,,
3/10/23,09 20 59 60 63,05,02,Mega Millions,9,20,59,60,63,,,,,,,,,,,,,,,
3/7/23,15 22 25 28 69,21,04,Mega Millions,15,22,25,28,69,,,,,,,,,,,,,,,
3/3/23,08 25 36 39 67,11,04,Mega Millions,8,25,36,39,67,,,,,,,,,,,,,,,
2/28/23,14 16 40 52 59,13,02,Mega Millions,14,16,40,52,59,,,,,,,,,,,,,,,
2/24/23,02 22 49 65 67,07,04,Mega Millions,2,22,49,65,67,,,,,,,,,,,,,,,
2/21/23,02 15 30 36 63,24,02,Mega Millions,2,15,30,36,63,,,,,,,,,,,,,,,
